R_Height,R_Weight,R_Reach,R_Stance,R_age,R_SLpM,R_Str_Acc,R_SApM,R_Str_Def,R_TD_Avg,R_TD_Acc,R_TD_Def,R_Sub_Avg,B_Height,B_Weight,B_Reach,B_Stance,B_age,B_SLpM,B_Str_Acc,B_SApM,B_Str_Def,B_TD_Avg,B_TD_Acc,B_TD_Def,B_Sub_Avg,R_hist_sig_str_avg,R_hist_td_avg,R_hist_ctrl_avg,R_hist_sig_str_pct_avg,R_hist_td_pct_avg,R_hist_won_avg,R_hist_fights_before,B_hist_sig_str_avg,B_hist_td_avg,B_hist_ctrl_avg,B_hist_sig_str_pct_avg,B_hist_td_pct_avg,B_hist_won_avg,B_hist_fights_before,date,target
73.0,155.0,71.0,Southpaw,27.863107460643395,19.91,0.77,0.52,0.86,0.0,0.0,1.0,0.0,72.0,145.0,78.0,Switch,31.457905544147845,7.58,0.39,8.88,0.58,0.0,0.0,0.0,0.0,,,,,,,0,2.0,0.0,,16.0,0.0,0.0,1,2021-03-06,1
77.0,205.0,83.0,Southpaw,28.72826830937714,5.38,0.43,5.8,0.48,0.0,0.0,0.78,0.0,76.0,205.0,77.0,Orthodox,30.327173169062284,15.07,0.62,8.6,0.47,0.0,0.0,1.0,0.0,45.0,0.0,,47.5,,0.5,2,,,,,,,0,2021-03-06,1
70.0,170.0,72.0,Orthodox,28.281998631074607,4.72,0.55,3.6,0.63,2.69,0.6,1.0,1.2,71.0,170.0,73.0,Orthodox,26.546201232032853,3.03,0.44,2.16,0.61,1.93,0.41,0.66,0.6,66.66666666666667,2.6666666666666665,,54.333333333333336,70.0,1.0,3,35.57142857142857,1.5714285714285714,,45.07142857142857,43.23076923076923,0.7142857142857143,14,2021-03-06,1
69.0,135.0,69.0,Switch,27.679671457905545,5.71,0.45,4.78,0.54,0.48,0.33,0.7,0.0,67.0,140.0,70.0,Southpaw,30.587268993839835,3.84,0.61,6.81,0.35,1.17,0.2,0.0,0.0,52.0,0.3333333333333333,,36.0,50.0,0.6666666666666666,3,26.0,1.0,,52.0,50.0,0.0,1,2021-03-06,0
76.0,242.0,78.0,Orthodox,32.95003422313484,3.14,0.48,3.48,0.39,0.0,0.0,0.8,0.0,76.0,245.0,81.0,Orthodox,30.88021902806297,5.04,0.55,1.85,0.69,1.13,0.26,1.0,0.5,27.333333333333332,0.0,,71.66666666666667,,0.8333333333333334,6,58.25,0.75,,59.0,33.333333333333336,1.0,4,2021-02-27,0
66.0,145.0,68.0,Orthodox,31.307323750855577,3.29,0.45,6.51,0.43,0.0,0.0,0.18,0.5,68.0,135.0,68.0,Switch,28.709103353867214,3.8,0.58,1.09,0.61,10.86,0.76,1.0,0.5,76.0,0.0,,50.0,0.0,0.0,1,,,,,,,0,2021-02-27,0
69.0,155.0,72.0,Orthodox,28.407939767282684,3.57,0.35,3.81,0.59,1.6,0.38,0.62,0.0,69.0,155.0,70.0,Orthodox,25.935660506502394,2.85,0.37,3.88,0.6,1.06,0.33,0.63,1.2,30.666666666666668,1.1666666666666667,,44.666666666666664,25.0,0.6666666666666666,6,30.6,1.2,,37.2,26.4,0.6,5,2021-02-27,0
66.0,135.0,65.0,Orthodox,34.47501711156742,5.6,0.43,5.87,0.58,0.68,0.21,0.8,0.8,64.0,135.0,68.0,Orthodox,31.665982203969882,4.03,0.4,3.9,0.6,0.88,0.27,0.92,0.1,54.92857142857143,0.5,,48.92857142857143,28.0,0.5714285714285714,14,48.7,0.7,,38.4,24.833333333333332,0.7,10,2021-02-27,1
70.0,145.0,73.0,Southpaw,32.68993839835729,4.1,0.5,2.82,0.65,0.57,0.78,0.64,0.8,71.0,155.0,73.0,Orthodox,33.62354551676933,1.35,0.36,3.22,0.31,0.97,0.06,0.5,1.0,49.52173913043478,0.43478260869565216,,46.869565217391305,76.14285714285714,0.5217391304347826,23,5.0,0.0,,83.0,,0.0,1,2021-02-27,1
66.0,135.0,68.0,Orthodox,36.39972621492129,4.18,0.47,4.18,0.55,0.94,0.4,0.34,0.8,67.0,135.0,70.0,Orthodox,23.928815879534564,6.56,0.44,3.91,0.6,0.81,0.8,0.66,0.2,44.36363636363637,0.6363636363636364,,44.81818181818182,41.5,0.5454545454545454,11,105.25,1.0,,47.5,100.0,0.75,4,2021-02-27,1
75.0,205.0,77.0,Orthodox,28.97741273100616,4.33,0.56,2.52,0.43,1.34,0.33,0.55,1.3,75.0,205.0,75.0,Orthodox,28.739219712525667,3.41,0.53,1.78,0.65,1.18,0.33,0.85,0.0,30.0,0.6153846153846154,,57.46153846153846,35.875,0.6153846153846154,13,29.0,0.3333333333333333,,55.166666666666664,33.0,0.8333333333333334,6,2021-02-27,0
75.0,205.0,76.0,Orthodox,32.90075290896646,3.68,0.46,2.94,0.61,0.22,1.0,0.7,0.0,75.0,220.0,78.0,Orthodox,36.824093086926766,2.95,0.44,2.33,0.56,0.38,0.33,0.66,0.0,23.333333333333332,0.0,,35.0,,0.3333333333333333,3,26.0,0.5,,50.0,100.0,0.5,2,2021-02-27,1
74.0,240.0,80.0,Orthodox,43.671457905544145,3.47,0.5,3.85,0.44,2.38,0.46,0.33,2.4,75.0,250.0,76.0,Orthodox,31.405886379192335,11.78,0.61,3.22,0.65,0.0,0.0,1.0,0.0,21.53846153846154,1.0,,44.15384615384615,53.857142857142854,0.6153846153846154,13,25.0,0.0,,61.5,,1.0,2,2021-02-20,0
69.0,145.0,69.0,Switch,34.49418206707735,3.11,0.37,3.78,0.48,1.76,0.32,0.4,1.0,67.0,145.0,69.0,Orthodox,30.817248459958932,3.24,0.7,1.4,0.43,3.0,0.62,0.6,3.6,44.5,1.75,,43.0,28.833333333333332,0.5,8,9.5,0.5,,72.5,100.0,0.5,2,2021-02-20,0
72.0,185.0,77.0,Orthodox,32.11772758384668,2.84,0.52,4.18,0.47,3.13,0.35,0.0,0.0,75.0,185.0,75.0,Orthodox,25.976728268309376,4.17,0.61,2.03,0.59,0.5,0.12,0.6,2.0,7.0,0.0,,63.0,,1.0,1,68.0,1.0,,61.0,12.0,1.0,1,2021-02-20,1
76.0,265.0,80.0,Orthodox,30.00684462696783,3.59,0.53,1.7,0.57,6.64,0.54,0.33,0.0,75.0,260.0,79.0,Orthodox,36.035592060232716,2.59,0.5,2.16,0.44,0.52,0.26,0.54,0.0,37.5,4.916666666666667,,52.75,57.166666666666664,0.75,12,25.6,0.35,,52.7,35.84615384615385,0.75,20,2021-02-20,0
67.0,135.0,69.0,Orthodox,36.65434633812457,3.4,0.29,3.66,0.69,0.34,0.33,0.86,0.1,66.0,135.0,71.0,Switch,29.177275838466805,4.17,0.49,5.07,0.55,0.86,0.25,0.6,0.0,36.214285714285715,0.14285714285714285,,29.142857142857142,16.625,0.42857142857142855,14,55.0,0.0,,42.0,0.0,0.0,1,2021-02-20,0
75.0,240.0,77.0,Orthodox,42.04517453798768,3.48,0.44,2.83,0.57,0.47,0.36,0.78,0.3,77.0,256.0,78.0,Orthodox,27.863107460643395,7.43,0.66,3.06,0.65,3.54,1.0,0.0,1.8,32.24242424242424,0.2727272727272727,,45.484848484848484,30.0,0.5757575757575758,33,13.0,0.5,,82.0,100.0,1.0,2,2021-02-20,0
69.0,145.0,68.0,Orthodox,32.45722108145106,5.54,0.56,3.22,0.6,2.81,0.39,0.55,0.0,68.0,145.0,67.0,Orthodox,33.94113620807666,2.93,0.39,4.17,0.53,2.5,1.0,0.84,0.0,55.857142857142854,2.0,,52.857142857142854,35.666666666666664,0.5714285714285714,7,49.0,4.0,,44.0,100.0,1.0,1,2021-02-20,1
68.0,135.0,68.0,Orthodox,29.489390828199863,2.66,0.36,3.84,0.53,2.19,0.48,0.92,0.5,66.0,135.0,68.0,Orthodox,31.277207392197127,4.22,0.57,2.62,0.51,1.62,0.53,0.5,0.2,38.333333333333336,1.6666666666666667,,42.333333333333336,65.2,0.8333333333333334,6,53.0,1.6,,57.0,59.25,0.6,5,2021-02-20,0
68.0,135.0,68.0,Orthodox,33.256673511293634,2.82,0.4,3.91,0.65,0.33,0.16,0.72,0.0,68.0,135.0,69.0,Orthodox,24.681724845995895,2.57,0.35,2.57,0.26,2.75,1.0,0.0,2.8,39.333333333333336,0.3333333333333333,,38.666666666666664,10.0,0.3333333333333333,3,,,,,,,0,2021-02-20,1
75.0,260.0,78.0,Orthodox,26.075290896646134,3.58,0.49,2.84,0.58,3.7,0.63,0.75,0.3,76.0,260.0,80.0,Orthodox,28.777549623545518,2.75,0.52,5.19,0.33,1.15,1.0,0.0,0.0,30.75,2.25,,41.5,39.0,0.5,4,,,,,,,0,2021-02-20,1
69.0,145.0,72.0,Orthodox,32.709103353867214,7.02,0.5,7.67,0.51,0.0,0.0,0.85,0.0,73.0,145.0,74.0,Southpaw,31.55920602327173,5.07,0.47,5.72,0.5,1.32,0.54,0.58,0.9,61.0,0.0,,47.0,,0.5,2,46.0,1.0,,47.0,72.0,0.3333333333333333,6,2021-02-20,0
66.0,125.0,69.0,Orthodox,31.89596167008898,3.34,0.37,5.2,0.5,0.84,0.5,0.14,0.0,66.0,125.0,69.0,,23.37303216974675,5.64,0.72,1.84,0.42,6.91,0.66,0.0,1.7,32.8,0.6,,42.4,62.5,0.4,5,,,,,,,0,2021-02-20,0
65.0,125.0,65.0,Switch,22.743326488706366,5.21,0.52,3.0,0.5,1.44,0.4,0.8,0.2,65.0,125.0,66.0,Orthodox,27.515400410677618,4.96,0.43,3.61,0.64,0.28,0.4,0.6,0.6,43.25,0.25,,55.25,20.0,0.75,4,70.85714285714286,0.2857142857142857,,47.42857142857143,33.333333333333336,0.5714285714285714,7,2021-02-13,0
71.0,170.0,72.0,Orthodox,32.59958932238193,4.75,0.43,4.02,0.6,1.97,0.28,0.85,0.2,74.0,170.0,75.0,Orthodox,32.035592060232716,3.14,0.38,3.93,0.59,1.38,0.42,0.73,0.7,60.09090909090909,1.9090909090909092,,41.45454545454545,34.8,0.7272727272727273,11,22.77777777777778,0.8888888888888888,,44.666666666666664,27.0,0.4444444444444444,9,2021-02-13,1
70.0,185.0,75.0,Orthodox,30.223134839151268,4.2,0.44,3.71,0.56,2.42,0.52,0.55,0.5,74.0,185.0,72.0,Orthodox,30.770704996577688,3.5,0.4,2.98,0.52,0.0,0.0,0.53,3.4,43.0,1.0,,41.5,66.66666666666667,0.25,4,39.5,0.0,,40.5,0.0,0.5,2,2021-02-13,0
72.0,170.0,76.0,Switch,33.76317590691308,4.66,0.54,2.33,0.58,3.22,0.47,1.0,0.1,70.0,170.0,71.0,Orthodox,34.57084188911704,3.22,0.45,3.04,0.54,2.08,0.35,0.5,0.7,78.08333333333333,3.9166666666666665,,54.666666666666664,47.0,1.0,12,35.6,1.6666666666666667,,47.6,43.07142857142857,0.8,15,2021-02-13,1
66.0,135.0,69.0,Orthodox,28.45448323066393,3.08,0.42,3.13,0.64,6.93,0.54,0.72,0.4,66.0,145.0,66.0,Switch,34.48870636550308,3.92,0.39,5.47,0.53,1.0,0.25,0.59,0.7,37.142857142857146,4.714285714285714,,43.714285714285715,52.166666666666664,0.7142857142857143,7,33.5,0.6,,42.3,32.125,0.6,10,2021-02-13,1
69.0,185.0,71.0,Southpaw,29.308692676249144,3.64,0.43,2.92,0.59,1.22,0.39,0.64,0.1,71.0,185.0,72.0,Orthodox,32.525667351129364,3.28,0.5,2.79,0.58,1.13,0.18,0.6,0.8,45.1764705882353,0.7058823529411765,,43.0,45.2,0.5882352941176471,17,45.0,1.0,,57.2,36.0,0.6,5,2021-02-13,1
65.0,115.0,67.0,Orthodox,28.66803559206023,3.71,0.41,3.01,0.54,1.12,0.33,0.5,3.4,64.0,115.0,63.0,Orthodox,27.041752224503764,3.99,0.59,5.53,0.58,3.37,0.63,0.25,0.5,29.0,0.6,,47.6,42.5,0.4,5,15.5,0.5,,43.5,50.0,0.5,2,2021-02-13,1
72.0,185.0,73.0,Orthodox,31.38672142368241,1.66,0.42,3.06,0.42,7.0,0.47,0.0,1.6,72.0,185.0,75.0,Orthodox,27.32375085557837,4.92,0.55,5.09,0.47,3.76,0.66,0.7,1.9,11.5,2.5,,48.0,71.0,1.0,2,25.333333333333332,2.0,,33.666666666666664,66.0,0.3333333333333333,3,2021-02-13,0
70.0,170.0,73.0,Switch,27.786447638603697,6.57,0.46,7.23,0.49,1.0,1.0,0.57,0.5,75.0,170.0,80.0,Orthodox,30.576317590691307,4.99,0.6,5.34,0.51,1.19,0.33,0.25,0.0,127.0,0.0,,46.0,,0.0,1,,,,,,,0,2021-02-13,1
68.0,135.0,75.0,Southpaw,33.06502395619439,4.42,0.41,4.25,0.52,0.29,0.66,0.7,0.1,69.0,145.0,67.0,Orthodox,29.815195071868583,4.3,0.57,2.45,0.59,0.57,0.6,0.73,0.2,65.66666666666667,0.16666666666666666,,39.0,50.0,0.6666666666666666,6,53.8,0.4,,57.0,50.0,0.6,5,2021-02-13,0
65.0,125.0,67.0,Orthodox,30.811772758384667,4.3,0.47,3.39,0.53,0.94,0.35,0.68,0.9,65.0,125.0,68.0,Southpaw,27.23066392881588,3.67,0.45,4.3,0.48,1.0,0.28,0.8,0.0,45.333333333333336,0.7777777777777778,,49.44444444444444,57.57142857142857,0.6666666666666666,9,,,,,,,0,2021-02-06,1
65.0,135.0,67.0,Orthodox,26.105407255304584,7.73,0.52,5.51,0.48,2.0,0.6,0.9,0.0,68.0,135.0,70.0,Orthodox,25.357973990417523,4.2,0.53,3.83,0.46,0.5,0.16,0.37,0.5,145.5,1.0,,50.0,50.0,1.0,2,88.0,0.0,,49.0,0.0,1.0,1,2021-02-06,1
69.0,155.0,76.0,Orthodox,27.523613963039015,5.64,0.55,2.65,0.59,0.74,1.0,1.0,0.7,67.0,155.0,68.0,Orthodox,31.49349760438056,3.58,0.42,6.49,0.58,0.0,0.0,0.33,0.6,15.666666666666666,0.0,,55.666666666666664,,0.6666666666666666,3,26.333333333333332,0.0,,45.0,0.0,0.3333333333333333,3,2021-02-06,1
70.0,155.0,73.0,Southpaw,34.677618069815196,4.21,0.38,3.82,0.58,0.49,0.45,0.77,0.1,67.0,155.0,70.0,Orthodox,39.16495550992471,2.44,0.34,2.57,0.63,3.36,0.38,0.68,0.7,48.34782608695652,0.391304347826087,,36.608695652173914,59.81818181818182,0.4782608695652174,23,28.862068965517242,2.310344827586207,,35.96551724137931,35.77777777777778,0.5172413793103449,29,2021-02-06,0
76.0,265.0,80.0,Orthodox,40.72553045859001,3.67,0.64,2.44,0.57,1.42,0.55,0.73,0.8,79.0,250.0,80.0,Orthodox,32.28747433264887,4.88,0.59,2.48,0.56,0.66,0.7,0.66,0.2,37.10526315789474,0.5263157894736842,,71.05263157894737,37.142857142857146,0.631578947368421,19,79.125,0.875,,56.625,70.0,0.75,8,2021-02-06,0
